window_start,window_end,mid_date,fp_ratio_mean,strong_neg_ratio_mean,abs_ratio_mean,somatic_ratio_mean,death_ratio_mean,passive_per_100s_mean,word_count_mean
1,5,2024-06-27,0.023,0.0,0.0013,0.0007,0.0,7.718,376.2
2,6,2024-06-27,0.0187,0.0,0.0007,0.0007,0.0,1.052,359.8
3,7,2024-06-27,0.0189,0.0,0.0007,0.0007,0.0,1.052,326.4
4,8,2024-06-28,0.0181,0.0,0.0014,0.0007,0.0,1.052,377.8
5,9,2024-07-03,0.015,0.0,0.0007,0.0,0.0,0.0,238.0
6,10,2024-07-03,0.012,0.0,0.0007,0.0,0.0,0.0,237.4
7,11,2024-07-03,0.0148,0.0,0.0007,0.0,0.0,5.0,228.8
8,12,2024-07-03,0.0198,0.0,0.0007,0.0,0.0,5.0,229.4
9,13,2024-07-03,0.0194,0.0,0.0,0.0,0.0,5.0,170.8
10,14,2024-07-03,0.0175,0.0,0.0,0.0024,0.0,8.334,166.6
11,15,2024-07-03,0.0198,0.0,0.0008,0.0024,0.0,8.958,290.0
12,16,2024-07-04,0.0192,0.0,0.003,0.0024,0.0,3.958,249.8
13,17,2024-07-04,0.0292,0.0,0.003,0.0024,0.0,3.958,245.0
14,18,2024-07-04,0.0345,0.0,0.003,0.0024,0.0,4.6,903.2
15,19,2024-07-04,0.0345,0.0,0.003,0.0,0.0,1.266,904.4
16,20,2024-07-05,0.0296,0.0,0.0022,0.0,0.0,0.642,783.4
17,21,2024-07-05,0.033,0.0,0.0,0.0,0.0,0.642,832.4
18,22,2024-07-06,0.0241,0.0,0.0,0.0,0.0,3.976,839.8
19,23,2024-07-07,0.0164,0.0,0.0,0.0,0.0,3.334,186.4
20,24,2024-07-07,0.0139,0.0,0.0,0.0,0.0,3.334,183.4
21,25,2024-07-08,0.0185,0.0,0.0015,0.0,0.0,5.334,200.8
22,26,2024-07-09,0.0162,0.0,0.0015,0.0,0.0,6.134,221.8
23,27,2024-07-09,0.0202,0.0,0.0015,0.0,0.0,4.228,229.8
24,28,2024-07-10,0.0202,0.0,0.0015,0.0,0.0,4.228,223.6
25,29,2024-07-11,0.029,0.0,0.0015,0.0,0.0,4.228,220.8
26,30,2024-07-11,0.0263,0.0,0.0,0.0,0.0,3.098,242.8
27,31,2024-07-11,0.0327,0.0,0.0,0.0,0.0,4.798,227.4
28,32,2024-07-11,0.0301,0.0,0.0,0.0,0.0,3.37,243.8
29,33,2024-07-11,0.0329,0.0,0.0,0.0,0.0,3.37,300.8
30,34,2024-07-12,0.0241,0.0,0.0,0.0,0.0,3.37,301.0
31,35,2024-07-14,0.0398,0.0,0.0,0.0022,0.0,2.5,264.2
32,36,2024-07-14,0.0355,0.0,0.0,0.0022,0.0,0.74,270.6
33,37,2024-07-14,0.0276,0.0,0.0,0.0022,0.0,8.74,251.0
34,38,2024-07-14,0.0291,0.0,0.0,0.0022,0.0,8.74,220.4
35,39,2024-07-14,0.0315,0.0,0.0024,0.0022,0.0,8.74,224.4
36,40,2024-07-15,0.0139,0.0,0.0024,0.0,0.0,8.74,220.0
37,41,2024-07-15,0.0124,0.0,0.0024,0.0,0.0,9.818,174.4
38,42,2024-07-16,0.017,0.0,0.0024,0.0,0.0,1.818,167.8
39,43,2024-07-16,0.0128,0.0,0.0024,0.0,0.0,1.818,141.2
40,44,2024-07-16,0.0212,0.0,0.0,0.0,0.0,2.818,155.6
41,45,2024-07-17,0.0212,0.0,0.0,0.0,0.0,2.818,159.8
