标题,发布/编辑时间,赞同数,内容摘要,链接
男女之间有纯友谊吗？,未知,0,"我觉得男人这一点真的应该要和女生多学学。 要先找一个符合自己性癖，时时刻刻都能喂饱你的漂亮姑娘。 然后再找一个可爱温柔，能天天和你谈甜甜恋爱的小女孩。 这样，你就能细心感性的发现每一个女孩子灵魂的闪光点了。 而不是看到每一个和你说话的姑娘，脑子里第一时间冒出来的都是""她愿不愿意和我交配""的想法了。 接着，你就会发现——""原来男女…",https://www.zhihu.com/question/51077217/answer/2021320924880797932
为什么在中国有些人把早恋看做一种错误？,未知,0,因为在某些人眼里，在校女生就是为那些成为合格牛马的做题家准备的奖品。 所以对于那些在成为合格牛马前就想提前偷吃的人。 某些人当然会怒不可遏的觉得他们罪该万死咯~…,https://www.zhihu.com/question/498837809/answer/2021250153793746071
四川乐山公交车标语惹争议「贞洁，是女孩最高贵的嫁妆」，后半句是「贞洁，是男孩最高贵的聘礼」，怎么看？,未知,0,看来是真的有人急了………,https://www.zhihu.com/question/2020047258821862804/answer/2021191028015637266
为什么很多人认为同居等于二婚，这样的思想对吗？,未知,0,我放个暴论吧，你们自己体会： 假如你和25岁，跟男朋友同居过三年的年轻女性谈过恋爱，然后再和16岁还在学校的高中女生谈恋爱。 ——那么你就能明白这个标题的意思了。 恋爱本身就是一件两个人一起犯傻的事情，但是…,https://www.zhihu.com/question/511168873/answer/2021189768805974522
男生178 女生164 经常被女朋友说矮 178真的矮吗?,未知,0,"178不矮的 但是现在有些女生对身高的要求已经是贪婪的匪夷所思。 我都被妹子说过""你也不是很高嘛~"" 我192…… 真的，她们已经疯了！…",https://www.zhihu.com/question/9402890830/answer/2021174094750651548
女朋友要求上交全部收入，她的财务收支又不愿意透明（她的是她的、我的是她的），应该怎么解决呢？求助！？,未知,0,笑死，你居然还在想要怎么解决？ 伊朗投降美国也就你这个条件了吧。 你爸爸是被他家挟持了，然后你不答应她条件她家里就要轰炸你们小区了吗？ 还是你也有吃小孩的视频落在她手里了？ ps：正经的说，像你这样的情况，最龟的后果就是会变成瓢虫。你确定要让自己变得那么烂吗？…,https://www.zhihu.com/question/1999445840905908427/answer/2021172689600004423
该不该让女友降低彩礼？,未知,0,先不要讲彩礼的问题了。 你不妨坐下来冷静思考一下，你们两个都已经快要结婚了，现在却在为了钱讨价还价互相算计。 你觉得结婚以后你们两个人的利益是共同的吗？你们两个人能够一致对外吗？ 先想明白这个问题，再讨论别的事情。…,https://www.zhihu.com/question/2014415380710449621/answer/2021170808798607209
男生的身高重要吗？他168 我160?,未知,0,你自己不都已经很明了的表达了嘛：身高很重要，优秀的外在条件怎么样根本不重要，你更在乎的还是身高。 讲真，身高150-160的女生对身高真的有着异乎寻常的执念。 无论她们怎么隐藏，这种对异性身高异常的渴望，随时随地都有可能会在遇到一个很高的男生时突然的爆发。 这样的事情我已经遇到很多很多例了。 我知道这话很难听，很多人肯定也不服…,https://www.zhihu.com/question/1960792882391816145/answer/2021135166169466429
“女士优先”“打架不打女生”到底有没有歧视女性的含义然后人们墨守成规呢？求解答?,未知,0,"明面上我是一个十分遵守""女士优先""且尊重女性的人。 我也从来不打女人。 而实际上，我不会为了让别人优先就放弃自己的利益。 况且我男人和女人都不打。 而这个年头要搞垮一个人也根本不需要靠打架。 但是把实际利益争取到手以后我仍然会支持""女士优先""，并且尽量去做一个绅士。 我不会去争论女士优先和不打女人是否是一种歧视。如果她觉得是这是歧…",https://www.zhihu.com/question/1939455069205557510/answer/2021130686455621323
和异性发生过哪些难忘的事？,未知,0,那我来补个和coser姐姐的圣诞节后续吧，确实还挺难忘的。 补个前情提要先： 那天放学以后我是捧着花冲出校门的，沿途有不少男同学在对着我起哄。 跑到校门口，姐姐一副乙游男主的样子站在围墙边上等我，我则是拉着…,https://www.zhihu.com/question/659367924/answer/2020959014259885209
跟离异的女同事聊天时，她冒出一句：「你老婆还不如我，离了跟我过得了」，我该怎么回答？,未知,0,她质疑你老婆，就是不相信你的审美和眼光。 你们两个还没什么关系了她就能这么指责你。你真的和她过了她能给你好脸色？ 老婆真的好不好先放一边，质疑你的女朋友或者老婆并且当面赤裸裸的直球告诉你，实际上就是在打你的脸。…,https://www.zhihu.com/question/1896506110220949493/answer/2020628979543983693
买别墅的意义是什么？,未知,0,意味着春暖花开风和日丽的春季，你可以离开喧闹的市中心，邀请朋友来你的小院一起开烧烤电影派对。 有自己的小院，围炉煮茶可就不是一件很蠢很浪费钱的事情了。 春夏的午后，吃饱喝足以后躺在落地玻璃的客厅里，暖暖的看着外面狗子们打滚，想到今年燕子又回来了，笨咕咕又在二楼外面下蛋了，新的一年终于真正开始了。 很舒服的。…,https://www.zhihu.com/question/276461256/answer/2020627534161649907
既然日本的花魁从小培养样样精通，那为什么没人请花魁教自己数分、高代和数理方法？,未知,0,曾经有一个约我的姑娘，在知道我是区游泳队的以后，问我同样的价格，能不能顺带教她游泳，她说这个暑假她必须学会，否则分数就要没了。 然后那年暑假我教会了她四则混合泳，小姑娘腰不错，最后蝶泳都能学得像模像样了。 每次游完我还附带帮她洗头发洗澡掏耳朵按腿。 生生把约炮约成了陪练。…,https://www.zhihu.com/question/2006420805265953988/answer/2020587932554200503
如果两个人最终一定会分离，那相遇的意义是什么 ？,未知,0,"相遇的意义就是相遇本身啊。 和人交往的时候，尽量不要抱着""她会成为我的专属品""，这样的想法。 不，并不是说这个世界上没有这样的姑娘，是有的，有的我的朋友，肯定会有姑娘认为""她是专属于你的。"" 但是在她自己明…",https://www.zhihu.com/question/3695483629/answer/2020584381194970873
自己突然觉得女朋友矮怎么办？,未知,0,萝莉控突然意识到自己女朋友只是矮但是并不萝莉了？ 真的很像是萝莉控找了个矮个姑娘当代餐，但是现在这个代餐不合胃口了的感觉。…,https://www.zhihu.com/question/2015606016641868663/answer/2020578841865757241
三战全面爆发上海居民区安全吗？,未知,0,上海有很多封起来的防空洞。很多小区下面就有新的防空洞，新的防空洞还会连着旧的防空洞。 我们以前无聊的时候就爱去防空洞探险。 上海地下掩体之多可能远超外地朋友的想象。 上海在49年解放以后三天两头被炸，这方面还是做了一点微小的工作的。…,https://www.zhihu.com/question/2013673964006843510/answer/2020318835064976608
如何评价人民网文章《请给AI起个好名》？,未知,0,不是，ai的中文不就是人工智能吗？ 就像as叫强袭机兵 ms叫机动战士一样 也不会有人有病到给这些简称再取一个名字吧………,https://www.zhihu.com/question/2017921081520989611/answer/2019994531458720209
女朋友明确说以后只能同甘，不能共苦怎么办?,未知,0,"女生很有意思的。 我cp这么一个在我遇到任何困难的时候都能帮我力挽狂澜的小姑娘，都讲过""我不喜欢吃苦。"" 其实女生对吃不吃苦的理解和男生是有点不一样的。 我有段时间很缺很缺钱，因为那年我问我爸要了笔钱说要创…",https://www.zhihu.com/question/1947643126148764337/answer/2019862779276862957
怎么才能认识舞蹈生？,未知,0,这事情蛮简单的，我从小总结出来的经验： 你想认识礼仪队的妹子就让自己也进礼仪队，你想认识舞蹈生就让自己也进舞蹈社，啊，进模特班也可以。 想认识coser最好的办法就是自己去当男coser。 你自己能混进这个圈子了想认识哪个就能认识哪个。…,https://www.zhihu.com/question/636848308/answer/2019837877320709763
六年级早恋有错吗？,未知,0,我就讲一句。 六年级不知道轻重的，她可能会判断错家里人回家的时候，然后你可能会被她手忙脚乱的锁在阳台上，塞进壁橱里，或者是让你想办法从三楼阳台跳下去…… 还好我当时只有四年级，壁橱里有足够的空气，我被她妈从壁橱里救出来的时候被衣服压的都快半昏迷了。 六年级的小姐姐可能真的没办法好好的罩着你。 所以我建议还是起码找高一的大姐姐吧…,https://www.zhihu.com/question/566267232/answer/2019821210914047329
